"game_id","cover_path","trailer_url","screenshot_1","screenshot_2","screenshot_3","screenshot_4","screenshot_5"
1059,"game_media\covers\1059.jpg","https://www.youtube.com/watch?v=Z29ORu6_p34","game_media\screenshots\1059_1.jpg","game_media\screenshots\1059_2.jpg","game_media\screenshots\1059_3.jpg","game_media\screenshots\1059_4.jpg","game_media\screenshots\1059_5.jpg"
1060,"game_media\covers\1060.jpg","https://www.youtube.com/watch?v=2N1TJP1cxmo","game_media\screenshots\1060_1.jpg","game_media\screenshots\1060_2.jpg","game_media\screenshots\1060_3.jpg","game_media\screenshots\1060_4.jpg","game_media\screenshots\1060_5.jpg"
1061,"game_media\covers\1061.jpg","https://www.youtube.com/watch?v=mg5s5Dq50Rg","game_media\screenshots\1061_1.jpg","game_media\screenshots\1061_2.jpg","game_media\screenshots\1061_3.jpg","game_media\screenshots\1061_4.jpg","game_media\screenshots\1061_5.jpg"
1062,"game_media\covers\1062.jpg","https://www.youtube.com/watch?v=uKA-IA4locM","game_media\screenshots\1062_1.jpg","game_media\screenshots\1062_2.jpg","game_media\screenshots\1062_3.jpg","game_media\screenshots\1062_4.jpg","game_media\screenshots\1062_5.jpg"
1063,"game_media\covers\1063.jpg","https://www.youtube.com/watch?v=ot7uXNQskhs","game_media\screenshots\1063_1.jpg","game_media\screenshots\1063_2.jpg","game_media\screenshots\1063_3.jpg","game_media\screenshots\1063_4.jpg","game_media\screenshots\1063_5.jpg"
1064,"game_media\covers\1064.jpg","https://www.youtube.com/watch?v=1XOLX3Dbgqw","game_media\screenshots\1064_1.jpg","game_media\screenshots\1064_2.jpg","game_media\screenshots\1064_3.jpg","game_media\screenshots\1064_4.jpg","game_media\screenshots\1064_5.jpg"
1065,"game_media\covers\1065.jpg","https://www.youtube.com/watch?v=fDLAFIhfFy4","game_media\screenshots\1065_1.jpg","game_media\screenshots\1065_2.jpg","game_media\screenshots\1065_3.jpg","game_media\screenshots\1065_4.jpg","game_media\screenshots\1065_5.jpg"
1066,"game_media\covers\1066.jpg","https://www.youtube.com/watch?v=KhhNhpOln64","game_media\screenshots\1066_1.jpg","game_media\screenshots\1066_2.jpg","game_media\screenshots\1066_3.jpg","game_media\screenshots\1066_4.jpg","game_media\screenshots\1066_5.jpg"
1067,"game_media\covers\1067.jpg","https://www.youtube.com/watch?v=J6gnOVJsCsM","game_media\screenshots\1067_1.jpg","game_media\screenshots\1067_2.jpg","game_media\screenshots\1067_3.jpg","game_media\screenshots\1067_4.jpg","game_media\screenshots\1067_5.jpg"
1068,"game_media\covers\1068.jpg","https://www.youtube.com/watch?v=u1nY_5-UrY4","game_media\screenshots\1068_1.jpg","game_media\screenshots\1068_2.jpg","game_media\screenshots\1068_3.jpg","game_media\screenshots\1068_4.jpg","game_media\screenshots\1068_5.jpg"
1069,"game_media\covers\1069.jpg","https://www.youtube.com/watch?v=kgXVLw6qpFM","game_media\screenshots\1069_1.jpg","game_media\screenshots\1069_2.jpg","game_media\screenshots\1069_3.jpg","game_media\screenshots\1069_4.jpg","game_media\screenshots\1069_5.jpg"
1070,"game_media\covers\1070.jpg","https://www.youtube.com/watch?v=pu4hQR4fG2o","game_media\screenshots\1070_1.jpg","game_media\screenshots\1070_2.jpg","game_media\screenshots\1070_3.jpg","game_media\screenshots\1070_4.jpg","game_media\screenshots\1070_5.jpg"
1071,"game_media\covers\1071.jpg","https://www.youtube.com/watch?v=cF_YGL3W6CE","game_media\screenshots\1071_1.jpg","game_media\screenshots\1071_2.jpg","game_media\screenshots\1071_3.jpg","game_media\screenshots\1071_4.jpg","game_media\screenshots\1071_5.jpg"
1072,"game_media\covers\1072.jpg","https://www.youtube.com/watch?v=eaP1-yCqbUw","game_media\screenshots\1072_1.jpg","game_media\screenshots\1072_2.jpg","game_media\screenshots\1072_3.jpg","game_media\screenshots\1072_4.jpg","game_media\screenshots\1072_5.jpg"
1073,"game_media\covers\1073.jpg","https://www.youtube.com/watch?v=LuCaBp9wgtE","game_media\screenshots\1073_1.jpg","game_media\screenshots\1073_2.jpg","game_media\screenshots\1073_3.jpg","game_media\screenshots\1073_4.jpg","game_media\screenshots\1073_5.jpg"
1074,"game_media\covers\1074.jpg","https://www.youtube.com/watch?v=csTf2Z7xlQ0","game_media\screenshots\1074_1.jpg","game_media\screenshots\1074_2.jpg","game_media\screenshots\1074_3.jpg","game_media\screenshots\1074_4.jpg","game_media\screenshots\1074_5.jpg"
1075,"game_media\covers\1075.jpg","https://www.youtube.com/watch?v=q4GdJVvdxss","game_media\screenshots\1075_1.jpg","game_media\screenshots\1075_2.jpg","game_media\screenshots\1075_3.jpg","game_media\screenshots\1075_4.jpg","game_media\screenshots\1075_5.jpg"
1076,"game_media\covers\1076.jpg","https://www.youtube.com/watch?v=QD1pbWCJcKQ","game_media\screenshots\1076_1.jpg","game_media\screenshots\1076_2.jpg","game_media\screenshots\1076_3.jpg","game_media\screenshots\1076_4.jpg","game_media\screenshots\1076_5.jpg"
1077,"game_media\covers\1077.jpg","https://www.youtube.com/watch?v=LNHZ9WAertc","game_media\screenshots\1077_1.jpg","game_media\screenshots\1077_2.jpg","game_media\screenshots\1077_3.jpg","game_media\screenshots\1077_4.jpg","game_media\screenshots\1077_5.jpg"
